index,time,kernel,dimension,blocksize
146,0.17315,4900,8960,128
146,0.370675,19600,8960,64
147,0.0918818,49,8960,1280
147,0.101092,196,8960,640
147,0.131268,784,8960,320
147,0.143229,1225,8960,256
147,0.17317,4900,8960,128
147,0.370696,19600,8960,64
148,0.0917904,49,8960,1280
148,0.101634,196,8960,640
148,0.132918,784,8960,320
148,0.143197,1225,8960,256
148,0.175368,4900,8960,128
148,0.370703,19600,8960,64
149,0.0905552,49,8960,1280
149,0.101154,196,8960,640
149,0.132838,784,8960,320
149,0.143237,1225,8960,256
149,0.173104,4900,8960,128
149,0.370642,19600,8960,64
150,0.089636,49,8960,1280
150,0.101625,196,8960,640
150,0.132409,784,8960,320
150,0.143246,1225,8960,256
150,0.173128,4900,8960,128
150,0.370681,19600,8960,64
151,0.0900192,49,8960,1280
151,0.100984,196,8960,640
151,0.131182,784,8960,320
151,0.144858,1225,8960,256
151,0.17315,4900,8960,128
151,0.370699,19600,8960,64
152,0.0905019,49,8960,1280
152,0.100654,196,8960,640
152,0.131256,784,8960,320
152,0.143454,1225,8960,256
152,0.173144,4900,8960,128
152,0.370671,19600,8960,64
153,0.0900879,49,8960,1280
153,0.100367,196,8960,640
153,0.132069,784,8960,320
153,0.143196,1225,8960,256
153,0.173449,4900,8960,128
153,0.370711,19600,8960,64
154,0.0900815,49,8960,1280
154,0.100681,196,8960,640
154,0.13189,784,8960,320
154,0.143224,1225,8960,256
154,0.174495,4900,8960,128
154,0.370678,19600,8960,64
155,0.0900917,49,8960,1280
155,0.10181,196,8960,640
155,0.132804,784,8960,320
155,0.143205,1225,8960,256
155,0.173153,4900,8960,128
155,0.370692,19600,8960,64
156,0.0900888,49,8960,1280
